Image,target
508.jpg,odissi
246.jpg,mohiniyattam
473.jpg,odissi
485.jpg,odissi
128.jpg,bharatanatyam
410.jpg,kuchipudi
465.jpg,odissi
196.jpg,kathakali
340.jpg,sattriya
467.jpg,odissi
306.jpg,mohiniyattam
171.jpg,bharatanatyam
323.jpg,sattriya
332.jpg,sattriya
330.jpg,sattriya
170.jpg,bharatanatyam
479.jpg,odissi
9.jpg,kathak
283.jpg,mohiniyattam
114.jpg,bharatanatyam
507.jpg,odissi
183.jpg,kathakali
200.jpg,kathakali
457.jpg,odissi
264.jpg,mohiniyattam
194.jpg,kathakali
518.jpg,odissi
175.jpg,kuchipudi
64.jpg,odissi
152.jpg,bharatanatyam
270.jpg,mohiniyattam
125.jpg,bharatanatyam
38.jpg,kathak
440.jpg,kuchipudi
302.jpg,mohiniyattam
394.jpg,kuchipudi
448.jpg,odissi
463.jpg,odissi
20.jpg,kathak
301.jpg,odissi
28.jpg,kathak
61.jpg,kathak
398.jpg,bharatanatyam
349.jpg,sattriya
271.jpg,mohiniyattam
286.jpg,mohiniyattam
431.jpg,bharatanatyam
316.jpg,sattriya
224.jpg,kathakali
411.jpg,bharatanatyam
278.jpg,mohiniyattam
456.jpg,odissi
45.jpg,kathak
324.jpg,sattriya
6.jpg,kathak
59.jpg,sattriya
86.jpg,manipuri
470.jpg,odissi
374.jpg,kuchipudi
132.jpg,bharatanatyam
216.jpg,kathakali
95.jpg,manipuri
17.jpg,kathak
162.jpg,bharatanatyam
346.jpg,sattriya
439.jpg,bharatanatyam
232.jpg,kathakali
150.jpg,bharatanatyam
401.jpg,bharatanatyam
145.jpg,bharatanatyam
23.jpg,kuchipudi
514.jpg,odissi
193.jpg,kathakali
416.jpg,kuchipudi
447.jpg,odissi
220.jpg,kathakali
505.jpg,odissi
147.jpg,kuchipudi
210.jpg,kathakali
40.jpg,kathak
284.jpg,mohiniyattam
55.jpg,kathak
378.jpg,kuchipudi
520.jpg,odissi
484.jpg,odissi
112.jpg,kuchipudi
360.jpg,sattriya
317.jpg,kathak
71.jpg,manipuri
202.jpg,kathakali
92.jpg,manipuri
11.jpg,kathak
67.jpg,kathak
138.jpg,bharatanatyam
506.jpg,odissi
146.jpg,bharatanatyam
318.jpg,kathak
198.jpg,kathakali
375.jpg,odissi
41.jpg,kuchipudi
421.jpg,odissi
129.jpg,bharatanatyam
14.jpg,kathak
460.jpg,odissi
34.jpg,bharatanatyam
380.jpg,kuchipudi
238.jpg,kathakali
392.jpg,kuchipudi
80.jpg,manipuri
517.jpg,odissi
13.jpg,kathak
189.jpg,kathakali
390.jpg,kuchipudi
487.jpg,odissi
438.jpg,kuchipudi
482.jpg,odissi
206.jpg,kathakali
217.jpg,kathakali
285.jpg,mohiniyattam
385.jpg,bharatanatyam
495.jpg,odissi
269.jpg,odissi
429.jpg,kuchipudi
291.jpg,mohiniyattam
461.jpg,odissi
256.jpg,mohiniyattam
48.jpg,kathak
290.jpg,mohiniyattam
437.jpg,kuchipudi
498.jpg,odissi
173.jpg,bharatanatyam
280.jpg,mohiniyattam
119.jpg,bharatanatyam
363.jpg,odissi
97.jpg,manipuri
414.jpg,kuchipudi
386.jpg,kuchipudi
424.jpg,kuchipudi
157.jpg,bharatanatyam
33.jpg,kathak
354.jpg,sattriya
57.jpg,kathak
108.jpg,manipuri
239.jpg,kathakali
441.jpg,kuchipudi
215.jpg,kathakali
373.jpg,kuchipudi
292.jpg,mohiniyattam
110.jpg,manipuri
510.jpg,kuchipudi
275.jpg,mohiniyattam
366.jpg,sattriya
226.jpg,kathakali
35.jpg,kathak
458.jpg,odissi
358.jpg,sattriya
